id,sort_date,date_label,category,tags,statement,source_label,source_url,evidence,status
founding-1968,1968-01-01,民國 56–57 年（1967–1968）,社史,社史|創社|待核,《57–81 年社團簡史》記載「民國五十七年創立」，早期名稱為「交大口琴社／交大口琴研究社」；創社月日仍待核對。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
coach-58-academic-year,1970-01-01,民國 59 年左右（1970）,制度化,制度|指導|待核,社史記錄約在民國 59 年邀請外部口琴組織指導者到校，進行口琴介紹、示範與技巧教學。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
music-competition-1980,1981-01-01,民國 69–70 年（1980–1981）,制度化,制度|比賽|待核,約民國 69–70 年舉辦社內口琴競賽／「考試晚會」，設有指定曲、名次與鼓勵性獎項。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
music-library-1980,1981-01-01,1980–1981,制度化,制度|檔案|彩蛋,成立「口琴社音樂圖書館」。,YouTube 頻道說明,https://www.youtube.com/@nycu_harmonica/about,A1＋A2,
first-national-competition-72,1984-01-01,民國 72–73 年（1983–1984）,比賽,比賽|社史|待核,社史記載首次參加全國大專口琴比賽，結果記為甲等；指定曲與自選曲名稱仍有不同記法，待原始文件複核。,Hermes 社史整理（2026/08/12）,https://harmonica.nycu.club/chronology/#history-evidence,A2｜待核,
eight-years-excellent-82,1993-01-01,1993–1994 年起,比賽,比賽|社史|待核,連續八年獲全國學生音樂比賽大專團體組優等。,公開社史,https://groups.google.com/g/nctu.club.harmonica/c/0R2eqZTiMNA/m/TtTWvO1WOvMJ,A2,
regional-results-1997-1998,1998-01-01,1997–1998,比賽,比賽|成績,北區賽得 85.0 分第四名。,公開成績轉載,https://groups.google.com/g/nctu.club.harmonica/c/8NnEyqOykys/m/xZ7XFxWztkoJ,A2,
regional-results-1998-1999,1999-01-01,1998–1999,比賽,比賽|成績,北區賽得 85.2 分第三名，指定曲〈豐年祭〉、自選曲〈艾格蒙〉。,公開成績轉載,https://groups.google.com/g/nctu.club.harmonica/c/8NnEyqOykys/m/xZ7XFxWztkoJ,A2,
east-gate-concert-2000,2000-01-01,2000,演出,演出|場地|社史,在新竹東門城舉辦期末公演。,公開海報,https://groups.google.com/g/nctu.club.harmonica/c/HULOwSgxCqE/m/RoSElrhUkwIJ,A2,
first-place-2000-2001,2001-01-01,2000–2001,比賽,比賽|社史|待核,獲全國學生音樂比賽大專團體組優等第一名。,公開社史,https://groups.google.com/g/nctu.club.harmonica/c/0R2eqZTiMNA/m/TtTWvO1WOvMJ,A2,
first-place-2003-2004,2004-01-01,2003–2004,比賽,比賽|社史|待核,獲全國學生音樂比賽大專團體組優等第一名。,公開社史,https://groups.google.com/g/nctu.club.harmonica/c/0R2eqZTiMNA/m/TtTWvO1WOvMJ,A2,
bamboo-poster-2001,2001-01-01,2001,檔案,檔案|社史,公開「竹籬琴話—竹韻口琴社」海報。,公開檔案,https://groups.google.com/g/nctu.club.harmonica/c/B9_elIaJM38/m/TgnK5wDqQZ4J,A2,
demo-microphones-2001,2001-12-22,2001/12/22,演出,演出|音控|彩蛋,〈理髮師的探戈〉Demo 配置最多五支麥克風。,公開 Demo 筆記,https://groups.google.com/g/nctu.club.harmonica/c/BhROZpTrYR0/m/EyPgrlbZkdwJ,A2,
archive-plan-2002,2002-01-01,2002,檔案,檔案|制度化,啟動社團檔案保存計畫，保存申請資料與節目單。,公開檔案計畫,https://groups.google.com/g/nctu.club.harmonica/c/tnaYNI0nZXA/m/qcJRsr8vUFYJ,A2,
program-spanish-carnival-2002,2002-01-01,2002–2003,曲目,曲目|比賽,北區比賽節目冊列入竹韻曲目〈西班牙狂歡節〉。,公開秩序冊,https://groups.google.com/g/nctu.club.harmonica/c/oyIm2B5KOmw/m/qJtBFmzEM2AJ,A2,
electric-control-joke-2002,2002-03-17,2002,社群,社群|彩蛋|跨世代,公開討論出現「電控勢力越來越龐大」與「電控五月天」玩笑。,公開轉載,https://groups.google.com/g/nctu.club.harmonica/c/zQHsr8ns3J0/m/epvP7Pjenw0J,A2,
new-blood-2002,2002-03-17,2002/03/17,社群,社群|人物|彩蛋,有新社員因為覺得口琴聲很美而加入口琴社。,公開轉載,https://groups.google.com/g/nctu.club.harmonica/c/zQHsr8ns3J0/m/epvP7Pjenw0J,A2,
winter-camp-query-2003,2003-12-10,2003/12/10,活動,活動|跨校|待核,曾討論在交大舉辦寒假口琴營與借用場地。,公開轉載,https://groups.google.com/g/nctu.club.harmonica/c/xXh3I2oxVwE/m/6ee0sqQlYEIJ,A2,
yi-kou-tong-sheng-2004,2004-01-01,2004,演出,演出|場地|彩蛋,「異口同聲」在交誼廳完成演出。,公開演出後記,https://groups.google.com/g/nctu.club.harmonica/c/i8ywsz0TTGo,A2,
joint-concert-2004,2004-11-27,2004/11/27,演出,演出|跨校|相關生態,竹韻公開預告茱蒂、天狼星與狂響口琴樂團聯合演出。,公開活動預告,https://groups.google.com/g/nctu.club.harmonica/c/co_c4x4fxkg/m/zV-d99Hy_YoJ,A2,
deep-harmonica-2005,2005-06-01,2005,社史,社史|社群|演出,舉辦「深琴難卻」並留下送舊記憶。,公開送舊檔案,https://groups.google.com/g/nctu.club.harmonica/c/N_BKE2xIjJQ,A2,
sendoff-95-grade-2005,2005-06-07,2005/06/07,活動,活動|社群|演出,舉辦 95 級送舊活動。,公開送舊海報,https://groups.google.com/g/nctu.club.harmonica/c/N_BKE2xIjJQ,A2,
legacy-website-2005,2005-10-03,2005/10/03,檔案,檔案|社務|網站,處理舊網站停留在 2003 年 4 月的交接問題。,公開社群提問,https://groups.google.com/g/nctu.club.harmonica/c/5zi_Y6kxCSU/m/0f0Rw-d6TTcJ,A2,
summer-training-2007,2007-07-27,2007/07/27–07/30,活動,活動|教學|檢定,舉辦暑訓，包含獨奏班、小合奏、大合奏與特樂班。,公開暑訓公告,https://groups.google.com/g/nctu.club.harmonica/c/rgnd2zmlZ9A/m/38z9syE3Hw0J,A2,
friends-christmas-2007,2007-12-23,2007/12/23,演出,演出|跨校|影音,舉辦「聖誕友琴天」，並與友聲合唱團合奏。,公開活動預告,https://groups.google.com/g/nctu.club.harmonica/c/TMSbhxVbMVw/m/P79htuwA_v8J,A2,
awards-scan-2008,2008-01-01,2008,檔案,檔案|比賽,將歷屆獎狀掃描保存為電子檔。,公開文件公告,https://groups.google.com/g/nctu.club.harmonica/c/-8SujmcL5ww,A2,
competition-day-2009,2009-01-01,2008–2009,比賽,比賽|社務|彩蛋,比賽日 5:30 集合、8:00 檢錄並於約 9:00–9:30 上台。,比賽當天行程,https://groups.google.com/g/nctu.club.harmonica/c/7MtSXHxKqMg,A2,
result-97-2009,2009-01-01,2008–2009,比賽,比賽|成績,北區大專口琴合奏獲 87.42 分優等。,官方歷屆成績,https://web.arte.gov.tw/point/index.asp?Action=View&GRPNO=IA10&AREA=%E5%8C%97%E5%8D%80&sYear=97&SelectMenu=1&RaceNo=2,A1,
winter-camp-2009,2009-01-01,2009,活動,活動|跨校|教學,寒口營安排 Chord、Bass、半音階與民謠／藍調課程及對應講師。,寒口營公告,https://groups.google.com/g/nctu.club.harmonica/c/0-ZcVzC7oG0/m/piO3FBP2_iIJ,A2,
slurpee-welcome-2010,2010-01-01,2010,社群,社群|招生|彩蛋,迎新茶會後安排一人一杯思樂冰。,我是社長,https://groups.google.com/g/nctu.club.harmonica/c/Y9Yiur7JlJg,A2,
playlist-2010,2010-06-06,2010/06/06,曲目,曲目|影音|彩蛋,《點點音符琴琴相依》播放清單收錄 19 支曲目影片。,2010 官方播放清單,https://www.youtube.com/playlist?list=PLvwbg2jw4dZ6GcP9SHxlEt7agg_xGJSfl,A1*｜待核,
